"treat";"list";"depth";"age"
1;2;43;57
1;1;54;34
1;3;60;22
0;1;44;38
1;2;57;32
1;3;57;25
0;1;31;32
1;2;55;50
1;2;26;45
1;0;40;36
1;2;43;22
1;2;33;26
0;0;33;35
1;1;48;45
0;1;36;31
0;2;41;23
1;2;54;24
0;2;40;68
0;1;30;53
1;2;58;27
1;2;37;30
1;1;43;30
1;1;51;72
0;2;70;36
1;2;56;47
0;3;59;24
1;1;20;50
0;1;60;32
1;3;57;43
0;0;32;31
0;1;36;37
1;1;34;38
0;0;23;26
0;0;61;37
0;2;52;45
0;3;70;25
1;2;44;30
0;1;48;26
0;1;44;34
0;1;35;41
1;3;45;19
1;3;43;20
0;1;36;23
1;1;49;44
0;1;56;26
0;1;43;23
1;2;40;22
1;4;20;24
0;3;39;36
1;0;55;25
1;0;29;54
1;1;23;26
1;2;48;35
1;3;47;26
1;1;52;27
1;1;49;44
1;4;62;22
1;3;63;24
1;1;50;24
1;2;68;22
0;3;47;23
1;2;43;33
0;4;54;26
1;5;62;21
0;1;52;30
1;2;50;20
1;1;50;27
0;2;53;23
0;1;41;42
0;1;70;32
0;1;39;26
1;2;46;35
0;3;65;32
0;2;61;30
1;1;60;26
1;2;50;27
0;1;51;30
0;3;53;30
1;1;42;32
1;2;42;32
0;1;39;36
1;3;55;24
1;3;28;27
0;2;31;36
1;2;51;28
1;1;54;34
0;2;42;29
0;3;60;27
0;2;70;27
0;2;48;26
1;2;57;24
0;2;38;63
0;1;41;37
1;2;44;27
0;1;55;24
0;2;45;31
0;2;50;55
0;2;57;35
0;1;48;36
0;1;27;56
1;3;52;25
0;3;49;26
1;3;54;27
1;3;33;60
0;0;48;44
0;1;39;30
1;3;62;27
1;1;52;21
0;2;38;40
1;1;59;33
1;0;40;21
0;1;70;30
0;3;48;28
1;0;64;25
0;2;53;23
1;3;47;30
0;1;23;41
0;1;44;62
0;1;57;34
1;2;52;24
0;2;48;42
0;1;42;25
0;0;39;40
0;1;58;29
1;1;46;29
0;1;43;27
0;1;59;41
0;1;55;22
1;2;58;22
1;2;47;39
0;1;56;27
0;3;59;25
1;1;50;38
0;2;54;41
0;2;57;21
1;2;61;32
0;2;51;34
0;1;49;55
1;3;55;22
0;2;42;29
0;1;41;27
1;1;45;58
1;2;48;40
1;1;40;30
1;3;45;21
1;3;54;26
0;1;50;55
0;2;48;39
1;1;52;25
1;0;51;36
1;0;21;32
1;0;48;45
1;4;46;40
0;1;55;29
0;1;38;30
0;1;29;26
1;3;51;33
0;2;70;30
0;2;52;23
0;2;62;33
0;2;63;28
0;0;56;32
0;2;47;53
1;1;54;31
0;2;43;22
0;1;60;25
1;1;46;29
1;1;56;45
0;1;54;23
1;5;54;35
1;1;39;27
0;2;43;35
0;2;36;51
0;1;34;32
0;1;62;26
1;2;39;48
1;2;46;38
1;3;36;28
0;0;49;45
1;1;18;37
1;3;50;23
0;1;39;32
1;1;56;25
0;2;50;29
0;2;37;29
1;1;41;57
1;3;54;30
0;2;41;27
1;1;33;45
1;2;27;36
1;1;51;22
1;1;49;29
0;1;47;22
0;2;58;38
0;2;54;43
1;1;44;34
0;2;43;39
0;2;61;29
0;2;39;31
1;3;40;23
1;2;28;32
1;1;33;54
1;4;61;21
1;3;61;44
1;2;52;23
1;1;55;43
0;2;33;54
1;2;45;50
0;1;50;26
1;3;50;39
1;3;48;20
0;2;41;31
0;1;23;36
0;1;27;52
1;2;44;56
1;1;38;31
1;2;46;35
1;1;44;45
1;0;55;36
0;1;35;32
1;2;54;23
1;1;34;35
1;0;46;25
1;3;26;30
0;3;28;62
1;1;70;39
1;2;51;24
0;1;38;23
0;0;50;24
1;1;35;25
1;2;51;32
1;2;42;39
1;2;44;45
1;4;41;39
1;1;16;23
0;3;55;23
1;2;53;29
1;3;54;33
0;1;43;50
1;2;39;28
1;2;53;38
0;3;45;34
1;3;44;26
0;2;59;36
0;2;33;23
0;1;48;30
1;3;38;20
1;2;53;52
0;1;42;38
1;1;47;42
1;3;52;30
0;2;50;66
1;3;51;29
1;2;41;30
0;1;41;29
1;3;62;28
1;1;56;47
0;3;55;27
0;1;36;25
0;1;60;36
1;3;59;25
1;1;23;26
0;1;50;36
0;3;32;22
0;2;52;30
0;2;49;51
1;4;47;28
1;1;47;55
0;3;50;29
1;2;50;36
1;4;53;37
0;0;33;48
0;0;38;24
0;1;31;39
1;3;33;24
1;1;47;21
1;3;48;28
1;3;45;28
1;2;46;37
1;2;52;35
1;1;43;48
0;0;63;40
1;1;24;48
1;3;48;28
1;1;51;39
1;3;38;28
0;1;33;40
1;2;41;57
0;1;61;28
0;2;55;27
0;0;63;38
1;1;42;26
0;2;55;26
0;1;31;41
1;1;44;59
1;1;38;25
1;1;51;53
0;3;53;43
0;2;37;40
0;1;49;33
1;2;46;48
1;4;55;31
1;2;46;27
1;1;36;21
0;1;36;54
1;2;51;25
0;2;38;67
0;1;65;31
0;1;58;34
1;2;48;29
1;1;43;37
1;1;36;37
0;2;49;26
0;1;49;32
0;0;18;23
1;2;18;26
1;1;45;27
0;3;40;31
1;2;56;33
0;1;39;31
0;0;60;41
0;2;36;31
1;3;60;34
0;1;60;25
0;0;60;29
0;0;53;28
1;0;43;23
0;1;40;53
0;2;58;32
0;1;50;40
0;1;38;26
1;1;49;32
1;2;63;44
0;2;55;23
0;1;52;38
1;2;50;35
1;2;55;28
0;2;41;43
0;2;62;28
0;1;32;37
1;1;39;44
1;2;52;20
0;2;37;24
1;1;35;37
1;0;28;23
0;1;41;35
1;1;49;27
1;2;60;29
0;3;47;31
0;2;53;35
1;2;54;33
1;2;45;25
0;0;58;44
0;1;41;33
1;0;22;22
0;1;56;28
0;2;56;29
1;2;28;58
1;3;30;44
0;1;49;28
0;0;62;32
1;2;51;26
1;2;46;20
1;1;41;33
0;2;43;35
1;4;41;28
1;2;49;25
1;1;51;22
0;1;39;39
1;1;53;61
1;3;67;34
1;1;48;57
1;2;45;35
1;2;38;26
1;2;42;43
1;3;47;33
1;0;54;30
1;1;35;37
0;2;42;20
